Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer
1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD
2,Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD
4,PlayerUnknown's Battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD
6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD
8,Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD
10,Minecraft,Misc,,PC,Mojang,Mojang AB
11,Duck Hunt,Shooter,,NES,Nintendo,Nintendo R&D1
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD
16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD
19,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD
23,Garry's Mod,Misc,,PC,Unknown,Team Garry
24,Super Mario Land,Platform,E,GB,Nintendo,Nintendo R&D1
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak
27,Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,Rockstar North
28,Super Mario Bros. 3,Platform,E,NES,Nintendo,Nintendo R&D2
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak
30,Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,Game Freak
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North
